vault_id,id,title,description,filename,type,src_url,date
27,6589842,"Dragon-Girl Wrinry","You may remember this character from years back, here: <a href=""http://fav.me/d5lb2gk"" rel=""nofollow noopener"" target=""_blank"">http://fav.me/d5lb2gk</a> This is an updated version of the design, with my current style. You might also notice she resembles the dragon cultist, Sarah: <a href=""http://fav.me/d9q3n29"" rel=""nofollow noopener"" target=""_blank"">http://fav.me/d9q3n29</a> but make no mistake! Wrinry came first!<br><br><br><p><strong>Here is the story synopsis:</strong><br></p><blockquote>Wrinry is a young dragon cursed into human form. A fact that doesn't really bother her until she realizes that without wings, she can never return to the mountain top she calls home. It's up to her familiar Sivil and some unlikely friends to help her get back and discover why she was cursed in the first place.</blockquote><p>This is a short comic series I've had in the back of my mind for a long while, but just haven't had the time to fully realize yet. I still I think it has a lot of potential, though! With some help, maybe it could make for a nice side project.<br></p>",wrinry.png,image_file,https://www.patreon.com/posts/dragon-girl-6589842,2016-08-22T19:15:24.000+00:00
28,6620280,"Om Nom Nom","Dragon's gotta eat!<br>",wrinrynomnom.jpg,image_file,https://www.patreon.com/posts/om-nom-nom-6620280,2016-08-26T22:00:56.000+00:00
29,6718272,"Wrong Love","Cupid in the Twokinds universe must have the worst aim.<br>",wronglove.png,image_file,https://www.patreon.com/posts/wrong-love-6718272,2016-09-08T19:13:57.000+00:00
30,6733124,"Ear Nom",<br>,earnom.png,image_file,https://www.patreon.com/posts/ear-nom-6733124,2016-09-10T18:49:23.000+00:00
31,6739338,"No Pants",<br>,nopants.png,image_file,https://www.patreon.com/posts/no-pants-6739338,2016-09-11T17:42:16.000+00:00
32,6855736,Daniels,<br>,daniels.png,image_file,https://www.patreon.com/posts/daniels-6855736,2016-09-26T14:57:51.000+00:00
33,6855767,Foxy,None,foxified.png,image_file,https://www.patreon.com/posts/foxy-6855767,2016-09-26T14:59:18.000+00:00
34,6865242,"Basitin School Uniform",<br>,keithschoolgirl.png,image_file,https://www.patreon.com/posts/basitin-school-6865242,2016-09-27T18:37:52.000+00:00
35,6906785,Stockings,<br>,keithstockings.png,image_file,https://www.patreon.com/posts/stockings-6906785,2016-10-02T16:40:12.000+00:00
36,6906874,"Wolf Delinquent",<br>,delinquentnatani.png,image_file,https://www.patreon.com/posts/wolf-delinquent-6906874,2016-10-02T17:03:47.000+00:00
